파일,시트,시험명,이전상태,이후상태,적용규칙
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","세포치료제","누드마우스 종양원성 시험 52주 관찰 연장","실패","애매","회의록"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","세포치료제","누드마우스 종양원성 시험 Spiking test 3군 추가","실패","자동","정규식보강"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","세포치료제","QPCR 체내분포 분석을 위한 Validation","애매","자동","정규식보강"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","세포치료제","누드마우스 관절강내 투여 후 조직내 분포 채취 및 분석시험","애매","애매","회의록"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","설치류 단회 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","설치류 DRF 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","설치류 4주 반복 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","설치류 26주 반복 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","비설치류 4주 반복 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","비설치류 13주 반복 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","비설치류 26주 반복 독성시험 SEND","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","SEND","Comet assay SEND","실패","해당없음(in_vitro)","in_vitro"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","CTD Module 2.6","설치류 4,13주 반복 독성시험 CTD 작성","실패","애매","가이드라인Tip"
"SEND_CTD_번역_세포치료제_마스터_추가정규화.xlsx","CTD Module 2.6","설치류 26주 반복 독성시험 CTD 작성","실패","애매","가이드라인Tip"
